GEO,consumercost
EU,0.2525
Euro area,0.2608
Denmark,0.4559
FlemishRegion,0.3377
BrusselsCapitalRegion,0.3377
WalloonRegion,0.3377
Germany,0.3279
Italy,0.3115
Spain,0.3071
Czechia,0.3059
Ireland,0.2741
Cyprus,0.2607
Sweden,0.2525
Romania,0.2362
Greece,0.2305
Austria,0.2249
Latvia,0.2236
France,0.2086
Portugal,0.2067
Estonia,0.2056
Luxembourg,0.2017
Finland,0.1945
Slovakia,0.1796
Lithuania,0.1497
Poland,0.1464
Slovenia,0.1390
Croatia,0.1354
Malta,0.1293
Bulgaria,0.1093
Hungary,0.0948
Netherlands,0.0595
Liechtenstein,0.2201
Norway,0.1994
Iceland,0.1530
Montenegro,0.0961
Moldova,0.1172
North Macedonia,0.0940
Albania,0.0941
Serbia,0.0808
Turkey,0.0866
BosniaandHerzegovina,0.0887
Kosovo,0.0611
Georgia,0.0747
