Year,Average age when slaughtered,Average Market weight (KG),Feed to Meat conversion (KG of feed for 1 KG of meat),Mortality(%)
1925,112,1.133980925,4.7,18
1935,98,1.297274178,4.4,14
1940,85,1.310881949,4,12
1945,84,1.374384881,4,10
1950,70,1.3970645,3,8
1955,70,1.392528576,3,7
1960,63,1.51953444,2.5,6
1965,63,1.578501448,2.4,6
1970,56,1.642004379,2.25,5
1975,56,1.705507311,2.1,5
1980,53,1.782618014,2.05,5
1985,49,1.90055203,2,5
1990,48,1.982198657,2,5
1995,47,2.118276368,1.95,5
2000,47,2.281569621,1.95,5
2005,48,2.435791027,1.95,4
2006,48,2.481150264,1.96,5
2007,48,2.499293959,1.95,4.5
2008,48,2.531045425,1.93,4.3
2009,47,2.535581348,1.92,4.1
2010,47,2.585476509,1.92,4
2011,47,2.630835746,1.92,3.9
2012,47,2.653515365,1.9,3.7
2013,47,2.68526683,1.88,3.7
2014,47,2.726090144,1.89,4.3
2015,48,2.775985304,1.89,4.8
2016,47,2.794128999,1.86,4.5
2017,47,2.812272694,1.83,4.5
2018,47,2.839488236,1.82,5
2019,47,2.866703778,1.8,5
2020,47,2.907527092,1.79,5
2021,47,2.93020671,1.79,5.3
