Position,Employees,Base Salary,Position total,Benefits Paid
Chief Executive Officer,1,245300,245300,73590
Chief Financial Officer,1,245300,245300,73590
Chief Operations officer,1,245300,245300,73590
Operations Manager,2,165140,330280,99084
Assistance Manager,6,136280,817680,245304
Operations Engineers,5,97670,488350,146505
Operations Lower Level,30,52640,1579200,473760
Accounting Team,5,86140,430700,129210
Packaging/Shipping Team,5,36340,181700,54510
Product Development,10,98610,986100,295830
Custodial Staff,5,32740,163700,49110
Marketing/PR Team,5,74350,371750,111525
Microbiologists/Scientists,3,82670,248010,74403
Procurement,3,74200,222600,66780
Maintenance Engineers,4,55590,222360,66708
Human Resources,4,78970,315880,94764
Information Technology,4,88320,353280,105984
